Nombre completo,Lugar de nacimiento (país),Nacionalidad,Posición principal,Club actual,Proveedor,Fin de contrato,Fecha de fichaje,comprado_por,overallrating,shotpower,gk_kicking,gk_reflexes,gk_diving,gk_handling,gk_positioning,reactions,longshots,ballcontrol,volleys,positioning,finishing,potential,crossing,Valor de mercado actual (numérico),Cluster,Valor_Predicho
Столе Димитриевски,58.0,247,3,101,,30/06/2026,01/07/2024,,0.7920928443470114,-0.7662267180980222,2.898126809752977,2.837838821354904,2.9596342099995328,3.0311694684335952,2.917923126689611,0.6679278784581544,-1.693742844374005,-2.6545954266286844,-1.6449711738466917,2.917923126689611,-1.475929395345064,0.1387932678288245,-2.2639654637501714,3000000.0,1,4219030.03874001
Jaume Doménech Sánchez,28.0,113,3,101,1.0,30/06/2025,01/07/2015,,-0.4195876430719326,-0.8448452524328034,2.8469699141166043,2.6489484331676643,2.5253211764437946,2.730834292728764,2.5740570444998614,-0.2456354192453958,-1.9242450968128373,-1.9365679562119529,-1.4971862342532076,2.5740570444998614,-1.8867415507617589,-1.2657261155584738,-1.3294560478798976,600000.0,1,2088641.4948235336
Sergio Herrera Pirón,28.0,113,3,24,,30/06/2026,12/07/2017,,0.7920928443470114,-0.7662267180980222,2.9492837053893504,2.9322840154485235,2.9596342099995328,3.0311694684335952,2.917923126689611,0.6679278784581544,-1.8320441958373044,-2.212732367910696,-1.5957095273155304,2.917923126689611,-1.6585125755302617,0.1387932678288245,-1.821303108864252,4000000.0,1,4332149.3262400385
Aitor Fernández Abarisketa,28.0,113,3,24,,30/06/2027,02/07/2022,-0.4873281855533991,0.4458984193701703,-1.1593193897719285,2.591185435934738,2.9322840154485235,2.863120202542702,2.830946017963708,2.868799400662504,0.5374188359290758,-1.9242450968128373,-2.930759838327427,-1.6449711738466917,2.868799400662504,-1.84109575571546,-0.2624979845675464,-1.3294560478798976,1500000.0,1,3113240.4092861703
Daniel Cárdenas Lindez,28.0,113,3,76,,30/06/2027,18/08/2023,-0.5260479963943305,0.0997039943933291,-0.8448452524328034,2.8469699141166043,2.743393627261284,2.718349191357456,2.780890155346236,2.8196756746353966,0.2764007508709185,-2.246948250227203,-2.82029407364793,-1.9898026995648217,2.8196756746353966,-2.1606163210395555,-0.0618523583693609,-2.313150169848607,1800000.0,1,4144621.9061799496
Augusto Martín Batalla Barga,5.0,46,3,76,,30/06/2025,23/08/2024,-0.2162895096668798,0.4458984193701703,-0.7662267180980222,2.898126809752977,2.837838821354904,2.863120202542702,2.9310577431986515,2.868799400662504,0.4069097933999971,-1.785943745349538,-2.212732367910696,-1.7434944669090149,2.868799400662504,-1.749804165622861,-0.0618523583693609,-1.9688572271595584,6000000.0,1,4113113.6256795027
Vicente Guaita Panadero,28.0,113,3,69,9.0,30/06/2025,01/09/2023,-0.6034876180761931,0.4458984193701703,-0.6089896494284598,3.051597496662097,2.790616224308094,2.863120202542702,2.981113605816123,2.868799400662504,0.2764007508709185,-1.785943745349538,-2.378431014929941,-1.7434944669090149,2.868799400662504,-1.8867415507617589,-0.2624979845675464,-1.2310866356830266,800000.0,1,3525501.937365732
Iván Villar Martínez,28.0,113,3,69,,30/06/2027,01/07/2019,-0.5879996937398206,-0.0733932180950914,-1.0020823211023655,2.7446561228438577,2.743393627261284,2.6700921876290407,2.730834292728764,2.770551948608289,0.0153826658127613,-1.785943745349538,-2.765061191308181,-1.792756113440176,2.770551948608289,-1.84109575571546,-0.0618523583693609,-2.1655960515533006,900000.0,1,3876007.9811079064
Leonardo Román Riquelme,28.0,113,3,73,,30/06/2026,01/07/2022,-0.541535920730703,-0.0733932180950914,-0.9234637867675848,2.795813018480231,2.696171030214474,2.6700921876290407,2.830946017963708,2.5740570444998614,0.0153826658127613,-2.01644599778837,-2.709828308968433,-1.8912794065024987,2.5740570444998614,-1.84109575571546,0.740730146423381,-2.116411345454865,2500000.0,1,5052368.725729278
Iván Cuéllar Sacristán,28.0,113,3,73,,30/06/2025,28/08/2023,-0.6731832775898695,-1.2850737055140355,-1.3951749927762718,2.3865578533892453,2.3183902538399948,2.284036157801718,2.4805549796414046,2.3775621403914333,-0.7676715893617102,-1.9242450968128373,-2.985992720667176,-1.546447880784369,2.3775621403914333,-1.704158370576561,-2.2689542465494013,-1.378640753978333,100000.0,0,319825.91915680014
Ørjan Håskjold Nyland,65.0,267,3,88,,30/06/2026,20/08/2023,-0.6344634667489382,0.2728012068817497,-0.6089896494284598,3.051597496662097,2.696171030214474,2.8148631988142867,2.8810018805811795,2.770551948608289,0.1458917083418399,-1.878144646325071,-2.4336638972696902,-1.6942328203778532,2.770551948608289,-1.8867415507617589,-0.4631436107657319,-2.214780757651736,1000000.0,1,3626210.758215016
Álvaro Fernández Llorente,28.0,113,3,88,,30/06/2025,12/08/2024,-0.4873281855533991,-0.0733932180950914,-1.1593193897719285,2.591185435934738,2.743393627261284,2.766606195085872,2.680778430111292,2.7214282225811823,0.2764007508709185,-2.246948250227203,-2.157499485570947,-2.088325992627144,2.7214282225811823,-2.0236789359006573,-0.0618523583693609,-2.362334875947042,2500000.0,1,4327551.014539535
David Soria Solís,28.0,113,3,41,,30/06/2026,13/07/2018,,1.1382872693238526,-0.8448452524328034,2.8469699141166043,3.026729209542143,3.0561482174563634,3.081225331051067,3.065294304770932,0.9289459635163116,-1.6476423938862383,-2.599362544288936,-1.447924587722046,3.065294304770932,-1.5215751903913637,0.5400845202251955,-2.0672266393564294,4000000.0,1,4774624.911355217
Jiří Letáček,76.0,307,3,41,2.0,30/06/2028,13/07/2024,-0.6344634667489382,-0.9388792805371944,-1.3165564584414906,2.4377147490256186,2.507280642027234,2.5253211764437946,2.5306108422588767,2.5249333184727543,-1.8117439295943392,-1.878144646325071,-2.765061191308181,-1.6942328203778532,2.5249333184727543,-1.749804165622861,-0.8644348631621029,-1.9688572271595584,2000000.0,0,494606.8832096671
Dinko Horkaš,21.0,95,3,98,,30/06/2028,01/07/2024,-0.5879996937398206,-0.7657820680487738,-1.0020823211023655,2.6934992272074845,2.507280642027234,2.5253211764437946,2.5806667048763483,2.5740570444998614,-0.8981806318907889,-2.062546448276137,-2.378431014929941,-1.6449711738466917,2.5740570444998614,-1.9323873458080585,-0.6637892369639175,-1.7721184027658168,1200000.0,0,580692.9285788432
Марко Дмитровић,95.0,317,3,25,,30/06/2025,12/08/2024,-0.6112315802443794,0.6189956318585909,-0.5303711150936786,3.10275439229847,2.837838821354904,2.8148631988142867,2.981113605816123,3.0161705787438247,0.4069097933999971,-1.693742844374005,-3.1516913676864218,-1.3986629411908846,3.0161705787438247,-1.475929395345064,-0.0618523583693609,-1.3294560478798976,800000.0,1,3355771.754040115
Juan Soriano Oropesa,28.0,113,3,25,,30/06/2027,02/07/2024,-0.5647678072352618,0.0997039943933291,-1.0807008554371471,2.642342331571111,2.790616224308094,2.766606195085872,2.680778430111292,2.770551948608289,0.0153826658127613,-1.7398432948617717,-2.4336638972696902,-1.7434944669090149,2.770551948608289,-1.749804165622861,-0.2624979845675464,-2.1655960515533006,1200000.0,1,3733991.4151924653
Joan García Pons,28.0,113,3,71,,30/06/2028,01/07/2021,,0.965190056835432,-0.6876081837632411,3.000440601025724,3.026729209542143,3.007891213727948,3.081225331051067,3.0161705787438247,0.5374188359290758,-2.062546448276137,-2.157499485570947,-2.039064346095983,3.0161705787438247,-2.114970525993256,1.5433126512161228,-2.1655960515533006,20000000.0,2,22826516.86597678
Fernando Pacheco Flores,28.0,113,3,71,,30/06/2026,31/01/2023,-0.4486083747124678,-0.246490430583512,-1.1593193897719285,2.591185435934738,2.6017258361208544,2.6700921876290407,2.730834292728764,2.672304496554076,0.0153826658127613,-1.785943745349538,-2.544129661949188,-1.7434944669090149,2.672304496554076,-1.6585125755302617,-1.0650804893602883,-2.116411345454865,900000.0,1,2301911.5232466506
Ángel Fortuño Viñas,28.0,113,3,71,,30/06/2027,01/07/2024,-0.657695353253497,-1.6312681304908767,-1.3951749927762718,2.3865578533892453,2.223945059746375,2.187522150344887,2.330387391788989,2.328438414364326,-1.0286896744198677,-2.2008477997394365,-2.544129661949188,-1.9898026995648217,2.328438414364326,-1.9780331408543577,-0.6637892369639175,-2.116411345454865,300000.0,0,499638.20852605766
Antonio Sivera Salvá,28.0,113,3,31,,30/06/2027,19/07/2017,,0.2728012068817497,-0.6089896494284598,3.051597496662097,2.837838821354904,2.8148631988142867,2.830946017963708,2.8196756746353966,-0.3761444617744744,-1.9242450968128373,-2.267965250250444,-1.5957095273155304,2.8196756746353966,-1.704158370576561,0.1387932678288245,-1.7229336966673812,6000000.0,1,4516864.196580979
Jesús Lázaro Owono Ngua Akeng,43.0,190,3,31,,30/06/2026,01/07/2022,-0.6654393154216833,-1.458170918002456,-1.3165564584414906,2.4377147490256186,2.223945059746375,2.428807168986964,2.4304991170239325,2.1810672362830053,-1.2897077594780246,-2.1086468987639035,-2.8755269559876786,-2.088325992627144,2.1810672362830053,-1.9780331408543577,-0.8644348631621029,-2.1655960515533006,1000000.0,0,462299.68276347034
Adrián Rodríguez Giménez,28.0,45,3,31,,30/06/2027,01/07/2024,-0.6693112965057764,-1.9774625554677177,-1.3165564584414906,2.4377147490256186,2.129499865652756,2.042751139159641,2.180219803936573,2.328438414364326,-1.9422529721234176,-2.1086468987639035,-3.0412256030069247,-2.039064346095983,2.328438414364326,-2.0236789359006573,-1.4663717417566593,-2.1655960515533006,100000.0,0,259962.57564320884
André Filipe Magalhães Ribeiro Ferreira,72.0,292,3,81,,30/06/2027,01/07/2024,-0.6189755424125657,-0.9388792805371944,-1.2379379241067094,2.488871644661992,2.4600580449804244,2.5253211764437946,2.330387391788989,2.5249333184727543,-1.0286896744198677,-1.693742844374005,-2.378431014929941,-1.7434944669090149,2.5249333184727543,-1.6128667804839625,-1.6670173679548448,-1.870487814962688,800000.0,0,439359.70872109884
yann-sommer,86.0,335,3,47,7.0,30/06/2026,07/08/2023,-0.2937291313487425,2.176870544254376,-0.1372784434197725,3.4608526617530826,3.3572873888698123,3.1526622249131946,3.2313929189034827,3.409160386960681,1.450982133632626,-1.9242450968128373,-2.04703372089145,-1.9898026995648217,3.409160386960681,-1.79544996066916,1.7439582774143083,-2.1655960515533006,4000000.0,1,7430770.491037442
Josep Martínez Riera,28.0,113,3,47,,30/06/2029,09/07/2024,-0.0614102663031544,2.349967756742797,1.6709478462801952,-0.4782283022476529,-0.2316299866877389,-0.3218420435327115,-0.4727409147894356,-0.4716139691807754,2.625563516394333,1.210585536355285,0.935541925454974,2.148175609052737,-0.4716139691807754,1.8562136430347933,1.9446039036124936,0.5395627838606504,12000000.0,2,12822630.090266095
Josep Martínez Riera,28.0,113,3,47,,30/06/2029,09/07/2024,-0.0614102663031544,0.0997039943933291,-1.2379379241067094,2.540028540298365,2.6489484331676643,2.766606195085872,2.680778430111292,2.868799400662504,0.4069097933999971,-2.15474734925167,-3.096458485346673,-2.088325992627144,2.868799400662504,-2.114970525993256,-0.2624979845675464,-2.214780757651736,12000000.0,1,3526625.048399087
raffaele-di-gennaro,53.0,224,3,47,,30/06/2025,13/07/2023,-0.6538233721694039,-0.9388792805371944,-1.4737935271110532,2.284244062116499,2.4600580449804244,2.6218351839006253,2.4805549796414046,2.3775621403914333,-0.506653504303553,-2.062546448276137,-2.267965250250444,-1.3986629411908846,2.3775621403914333,-1.704158370576561,-1.8676629941530305,-2.214780757651736,300000.0,0,422661.9396300767
Mike Peterson Maignan,40.0,156,3,3,11.0,30/06/2026,01/07/2021,,2.176870544254376,-0.1372784434197725,3.4608526617530826,3.3100647918230024,3.20091922864161,3.2814487815209543,3.26178920887936,1.7120002186907832,-1.5554414929107054,-1.494704897493964,-1.5957095273155304,3.26178920887936,-1.704158370576561,2.1452495298106795,-1.9196725210611232,25000000.0,2,24832743.804823462
marco-sportiello,53.0,224,3,3,6.0,30/06/2027,01/07/2023,,0.2728012068817497,-0.7662267180980222,2.898126809752977,2.743393627261284,2.766606195085872,2.730834292728764,3.0161705787438247,-0.506653504303553,-1.693742844374005,-2.488896779609439,-1.792756113440176,3.0161705787438247,-1.5672209854376629,-0.4631436107657319,-2.1655960515533006,1500000.0,1,3706216.1520173037
lorenzo-torriani,53.0,224,3,3,14.0,30/06/2027,01/07/2024,-0.6801528435412372,-2.4967541929329795,-1.2379379241067094,2.488871644661992,2.0822772686059454,1.9944941354312256,1.8298287656142704,2.131943510255898,-1.5507258445361818,-2.2008477997394365,-2.765061191308181,-2.1868492856894672,2.131943510255898,-2.1606163210395555,-0.4631436107657319,-2.313150169848607,500000.0,0,375172.1949009788
michele-di-gregorio,53.0,224,3,49,,30/06/2029,05/07/2024,0.7129859505154722,1.1382872693238526,-0.5303711150936786,3.153911287934843,3.073951806588953,3.1044052211847792,3.0311694684335952,3.2126654828522527,-0.3761444617744744,-1.6476423938862383,-1.770869309192707,-1.8420177599713368,3.2126654828522527,-1.9780331408543577,1.1420213988197518,-2.1655960515533006,18000000.0,2,21978410.079347398
mattia-perin,53.0,224,3,49,14.0,30/06/2027,01/07/2018,,0.7920928443470114,-1.0020823211023655,2.7446561228438577,2.9795066124953333,2.9596342099995328,3.081225331051067,3.0161705787438247,0.2764007508709185,-1.693742844374005,-2.4336638972696902,-1.447924587722046,3.0161705787438247,-1.8867415507617589,0.1387932678288245,-2.2639654637501714,3000000.0,1,4546266.296733828
carlo-pinsoglio,53.0,224,3,49,4.0,30/06/2026,01/07/2014,,-0.7657820680487738,-1.4737935271110532,2.284244062116499,2.5545032390740445,2.5253211764437946,2.6307225674938204,2.6231807705269685,-1.420216802007103,-2.2008477997394365,-2.488896779609439,-1.9898026995648217,2.6231807705269685,-1.8867415507617589,-1.6670173679548448,-2.1655960515533006,200000.0,0,425705.33443077677
marco-carnesecchi,53.0,224,3,13,7.0,30/06/2028,01/07/2019,0.3257878421061588,1.4844816943006938,-1.0020823211023655,2.7446561228438577,3.2156195977293827,3.2491762323700253,3.131281193668539,3.2126654828522527,-0.1151263767163172,-2.01644599778837,-2.544129661949188,-2.039064346095983,3.2126654828522527,-2.0236789359006573,1.9446039036124936,-2.2639654637501714,25000000.0,2,23537114.507212505
Rui Pedro dos Santos Patrício,72.0,292,3,13,7.0,30/06/2025,27/08/2024,-0.6034876180761931,0.0997039943933291,-0.7662267180980222,2.9492837053893504,2.6489484331676643,2.863120202542702,2.8810018805811795,2.770551948608289,-0.2456354192453958,-1.970345547300604,-2.3231981325901927,-1.5957095273155304,2.770551948608289,-1.84109575571546,-0.6637892369639175,-2.214780757651736,1000000.0,1,3444198.610093478
francesco-rossi,53.0,224,3,13,,30/06/2025,01/08/2009,,-2.323656980444559,-1.4737935271110532,2.335400957752872,2.0822772686059454,2.187522150344887,2.230275666554045,2.082819784228791,-3.116834354885125,-1.9242450968128373,-2.6545954266286844,-1.5957095273155304,2.082819784228791,-1.8867415507617589,-3.472828003738514,-1.870487814962688,100000.0,0,94652.45265751221
Χρήστος Μανδάς,38.0,186,3,83,,30/06/2029,01/09/2023,-0.6034876180761931,-0.4195876430719326,-1.0020823211023655,2.7446561228438577,2.837838821354904,2.766606195085872,2.6307225674938204,2.5249333184727543,-1.5507258445361818,-2.246948250227203,-2.709828308968433,-2.039064346095983,2.5249333184727543,-2.0236789359006573,0.740730146423381,-2.2639654637501714,5000000.0,1,5728271.825865675
ivan-provedel,53.0,224,3,83,14.0,30/06/2027,08/08/2022,-0.4098885638715365,1.4844816943006938,-0.4517525807588974,3.2050681835712163,3.168397000682573,3.20091922864161,3.081225331051067,3.26178920887936,0.4069097933999971,-1.5554414929107054,-2.488896779609439,-1.6942328203778532,3.26178920887936,-1.6128667804839625,0.9413757726215664,-1.7721184027658168,7000000.0,1,5783061.174120885
alessio-furlanetto,53.0,224,3,83,,30/06/2028,01/07/2022,-0.6770552586739627,-2.323656980444559,-1.7096491301153969,2.079616479571006,2.223945059746375,2.187522150344887,2.1301639413191014,1.837201154093256,-2.7253072272978893,-2.1086468987639035,-3.0412256030069247,-1.9898026995648217,1.837201154093256,-1.9780331408543577,-1.6670173679548448,-2.116411345454865,50000.0,0,129312.26795141876
alex-meret,53.0,224,3,84,14.0,30/06/2025,01/07/2019,,1.311384481812273,-0.7662267180980222,2.898126809752977,3.168397000682573,3.0561482174563634,3.081225331051067,3.26178920887936,0.798436920987233,-1.693742844374005,-2.3231981325901927,-1.3986629411908846,3.26178920887936,-1.6128667804839625,1.1420213988197518,-2.0672266393564294,12000000.0,1,5993116.700143173
Scott Paul Carson,46.0,196,3,54,7.0,30/06/2025,20/07/2021,,0.965190056835432,1.5923293119454138,-0.5805420935203993,-0.3260751807813587,-0.4183560509895422,-0.5728526400243794,-0.3733665171265614,1.1899640485744687,1.1644850858675189,0.7698432784357282,1.310727618022993,-0.3733665171265614,1.2171725123866015,0.33943889402701,0.4411933716637795,200000.0,1,415501.9585815305
simone-scuffet,53.0,224,3,84,3.0,30/06/2025,07/01/2025,-0.5260479963943305,-0.4195876430719326,-1.3951749927762718,2.3865578533892453,2.696171030214474,2.6218351839006253,2.6307225674938204,2.6231807705269685,-0.3761444617744744,-1.7398432948617717,-2.488896779609439,-1.3986629411908846,2.6231807705269685,-1.475929395345064,-0.8644348631621029,-1.821303108864252,2000000.0,1,2406651.9293089006
"Nikita Contini Baranovskiy , Нікіта Контіні-Барановський",90.0,235,3,84,,30/06/2025,01/07/2015,,-1.2850737055140355,-1.5524120614458343,2.233087166480126,2.4128354479336145,2.428807168986964,2.4304991170239325,2.279314688337219,-1.1591987169489462,-1.5554414929107054,-2.599362544288936,-1.792756113440176,2.279314688337219,-1.704158370576561,-1.8676629941530305,-1.9688572271595584,400000.0,0,366772.86361409415
Миле Свилар,11.0,320,3,8,,30/06/2027,01/07/2022,-0.5260479963943305,0.7920928443470114,-0.7662267180980222,2.898126809752977,3.073951806588953,2.9113772062711174,2.9310577431986515,2.967046852716717,0.2764007508709185,-1.6476423938862383,-2.157499485570947,-1.5957095273155304,2.967046852716717,-1.749804165622861,0.740730146423381,-1.9196725210611232,17000000.0,2,21888058.702961832
pierluigi-gollini,53.0,224,3,8,6.0,30/06/2027,24/01/2025,-0.4873281855533991,-0.0733932180950914,-1.0020823211023655,2.7446561228438577,2.743393627261284,2.718349191357456,2.730834292728764,2.770551948608289,-0.2456354192453958,-1.693742844374005,-2.378431014929941,-1.4971862342532076,2.770551948608289,-1.749804165622861,-0.6637892369639175,-1.9688572271595584,1000000.0,1,3103573.795805943
David de Gea Quintana,28.0,113,3,39,14.0,30/06/2025,09/08/2024,-0.2937291313487425,1.830676119277535,-1.0807008554371471,2.642342331571111,3.2628421947761925,3.2491762323700253,2.9310577431986515,3.26178920887936,1.7120002186907832,-1.9242450968128373,-1.9365679562119529,-1.7434944669090149,3.26178920887936,-1.79544996066916,1.342667025017937,-1.9688572271595584,5000000.0,1,6352982.935241222
pietro-terracciano,53.0,224,3,39,,30/06/2026,07/07/2019,,0.7920928443470114,-0.7662267180980222,2.898126809752977,3.073951806588953,3.007891213727948,2.981113605816123,3.0161705787438247,-0.2456354192453958,-1.970345547300604,-2.488896779609439,-1.5957095273155304,3.0161705787438247,-1.8867415507617589,0.1387932678288245,-2.1655960515533006,1500000.0,1,4819431.343069987
tommaso-martinelli,53.0,224,3,39,,30/06/2029,01/07/2023,-0.6654393154216833,-1.2850737055140355,-1.3951749927762718,2.3865578533892453,2.4600580449804244,2.47706417271538,2.4805549796414046,2.5249333184727543,-3.508361482472361,-2.246948250227203,-2.6545954266286844,-2.088325992627144,2.5249333184727543,-2.0236789359006573,-0.0618523583693609,-2.214780757651736,1800000.0,0,421028.62485680135
Вања Миликовић-Савић,28.0,322,3,94,6.0,30/06/2026,01/07/2017,,0.6189956318585909,-0.2158969777545538,3.4096957661167093,2.837838821354904,2.9596342099995328,2.9310577431986515,2.917923126689611,-0.3761444617744744,-0.4029302307165425,-2.709828308968433,-1.5957095273155304,2.917923126689611,-1.475929395345064,0.5400845202251955,-1.9196725210611232,12000000.0,1,4813618.693864584
antonio-donnarumma,53.0,224,3,94,,30/06/2026,14/08/2024,-0.6557593627114504,-1.6312681304908767,-2.181360336124084,1.721518210116394,2.507280642027234,2.47706417271538,2.230275666554045,2.033696058201684,-1.2897077594780246,-1.878144646325071,-2.4336638972696902,-1.8420177599713368,2.033696058201684,-1.9323873458080585,-2.670245498945772,-2.1655960515533006,300000.0,0,228765.63417057495
Łukasz Skorupski,71.0,289,3,19,,30/06/2026,01/07/2018,,0.7920928443470114,-1.1593193897719285,2.591185435934738,3.073951806588953,2.9596342099995328,2.9310577431986515,2.967046852716717,0.5374188359290758,-1.785943745349538,-2.4336638972696902,-1.546447880784369,2.967046852716717,-1.8867415507617589,0.1387932678288245,-1.870487814962688,2500000.0,1,4281558.605222386
federico-ravaglia,53.0,224,3,19,,30/06/2028,01/07/2017,-0.6460794100012176,-0.7657820680487738,-1.2379379241067094,2.540028540298365,2.696171030214474,2.6218351839006253,2.4805549796414046,2.5249333184727543,-1.5507258445361818,-2.062546448276137,-2.6545954266286844,-1.94054105303366,2.5249333184727543,-1.8867415507617589,-0.4631436107657319,-2.2639654637501714,1000000.0,0,569021.7825748208
nicola-bagnolini,53.0,224,3,19,,30/06/2027,01/07/2022,,-2.4967541929329795,-1.7096491301153969,2.1307733752073794,2.223945059746375,2.139265146616472,1.979996353466686,1.7389537020390415,-2.333780099710653,-2.1086468987639035,-2.709828308968433,-2.039064346095983,1.7389537020390415,-2.0236789359006573,-1.0650804893602883,-2.362334875947042,200000.0,0,217656.2099806933
jean-butez,32.0,140,3,29,,30/06/2028,07/01/2025,-0.3711687530306051,0.2728012068817497,-0.5303711150936786,3.10275439229847,2.790616224308094,2.766606195085872,2.8810018805811795,2.8196756746353966,0.1458917083418399,-1.970345547300604,-1.9918008385517008,-1.546447880784369,2.8196756746353966,-1.3846378052524653,-0.4631436107657319,-2.116411345454865,3000000.0,1,3680786.019236074
José Manuel Reina Páez,28.0,113,3,29,14.0,30/06/2025,18/07/2024,-0.6344634667489382,0.0997039943933291,-0.6876081837632411,3.000440601025724,2.5545032390740445,2.718349191357456,2.830946017963708,2.868799400662504,-0.2456354192453958,-1.785943745349538,-2.4336638972696902,-1.8420177599713368,2.868799400662504,-1.749804165622861,-0.6637892369639175,-2.2639654637501714,600000.0,1,3378224.919529571
